id	Gemeindekennziffer	Gemeindename	Ortsname	PLZ	Bezirk	Bundesland	Lat	Lon	Einwohner_2001	KFZ-Kennzeichen	Fläche_km2	Seehöhe
43000001	10101	Eisenstadt	Eisenstadt	7000	Eisenstadt (Stadt)	Burgenland	47.8500000	16.5166667	7462	E	42.91	182
43000002	10101	Eisenstadt	Kleinhöflein im Burgenland	7000	Eisenstadt (Stadt)	Burgenland	47.8333333	16.5000000	1870	E	42.91	182
43000003	10101	Eisenstadt	Sankt Georgen am Leithagebirge	7000	Eisenstadt (Stadt)	Burgenland	47.8500000	16.5500000	2002	E	42.91	182
43000004	10201	Rust	Rust	7071	Rust (Stadt)	Burgenland	47.8000000	16.6666667	1714	E	20.01	123
43000005	10301	Breitenbrunn	Breitenbrunn	7091	Eisenstadt-Umgebung	Burgenland	47.9333333	16.7166667	1702	EU	25.75	136
43000006	10302	Donnerskirchen	Donnerskirchen	7082	Eisenstadt-Umgebung	Burgenland	47.9000000	16.6333333	1649	EU	33.87	193
43000007	10303	Großhöflein	Großhöflein	7051	Eisenstadt-Umgebung	Burgenland	47.8333333	16.4833333	1853	EU	14.25	194
43000008	10304	Hornstein	Hornstein	2491, 7053	Eisenstadt-Umgebung	Burgenland	47.8666667	16.4333333	2640	EU	37.07	273
43000009	10305	Klingenbach	Klingenbach	7013	Eisenstadt-Umgebung	Burgenland	47.7500000	16.5500000	1189	EU	4.82	233
43000010	10306	Leithaprodersdorf	Leithaprodersdorf	2443	Eisenstadt-Umgebung	Burgenland	47.9333333	16.4666667	1181	EU	18.95	196
43000011	10307	Mörbisch am See	Mörbisch am See	7072	Eisenstadt-Umgebung	Burgenland	47.7500000	16.6666667	2323	EU	28.05	122
43000012	10308	Müllendorf	Müllendorf	7052	Eisenstadt-Umgebung	Burgenland	47.8333333	16.4500000	1229	EU	12.80	232
43000013	10309	Neufeld an der Leitha	Neufeld an der Leitha	2491	Eisenstadt-Umgebung	Burgenland	47.8500000	16.3666667	2948	EU	4.24	231
43000014	10310	Oggau am Neusiedler See	Oggau am Neusiedler See	7063	Eisenstadt-Umgebung	Burgenland	47.8333333	16.6666667	1811	EU	52.19	130
43000015	10311	Oslip	Oslip	7064	Eisenstadt-Umgebung	Burgenland	47.8333333	16.6166667	1323	EU	17.83	133
43000016	10312	Purbach am Neusiedler See	Purbach am Neusiedler See	7083	Eisenstadt-Umgebung	Burgenland	47.9000000	16.6833333	2570	EU	45.84	128
43000017	10313	Sankt Margarethen im Burgenland	Sankt Margarethen im Burgenland	7062	Eisenstadt-Umgebung	Burgenland	47.8000000	16.6000000	2762	EU	26.54	151
43000018	10314	Schützen am Gebirge	Schützen am Gebirge	7081	Eisenstadt-Umgebung	Burgenland	47.8500000	16.6166667	1360	EU	21.20	130
43000019	10315	Siegendorf	Siegendorf	7011	Eisenstadt-Umgebung	Burgenland	47.7833333	16.5500000	2720	EU	23.06	176
43000020	10316	Steinbrunn	Steinbrunn	2491, 7035	Eisenstadt-Umgebung	Burgenland			1902	EU	15.41	241
43000021	10317	Trausdorf an der Wulka	Trausdorf an der Wulka	7061	Eisenstadt-Umgebung	Burgenland	47.8000000	16.5500000	1723	EU	15.44	151
43000022	10318	Wimpassing an der Leitha	Wimpassing an der Leitha	2485	Eisenstadt-Umgebung	Burgenland	47.9166667	16.4333333	1094	EU	7.91	222
43000023	10319	Wulkaprodersdorf	Wulkaprodersdorf	7041	Eisenstadt-Umgebung	Burgenland	47.8000000	16.5000000	1890	EU	12.22	171
43000024	10320	Loretto	Loretto	2443	Eisenstadt-Umgebung	Burgenland	47.9000000	16.5166667	363	EU	2.38	218
43000025	10321	Stotzing	Stotzing	2443	Eisenstadt-Umgebung	Burgenland	47.9000000	16.5500000	770	EU	12.91	253
43000026	10322	Zillingtal	Zillingtal	7024, 7033, 7034	Eisenstadt-Umgebung	Burgenland	47.8166667	16.4000000	850	EU	13.10	231
43000027	10323	Zagersdorf	Zagersdorf	7011	Eisenstadt-Umgebung	Burgenland	47.7666667	16.5166667	900	EU	7.30	180
43000028	10401	Bocksdorf	Bocksdorf	7551	Güssing	Burgenland	47.1333333	16.1666667	791	GS	9.99	244
43000029	10402	Burgauberg-Neudauberg	Burgauberg	8291	Güssing	Burgenland			723	GS	10.91	350
43000030	10402	Burgauberg-Neudauberg	Neudauberg	8292	Güssing	Burgenland			596	GS	10.91	350
43000031	10403	Eberau	Eberau	7521	Güssing	Burgenland	47.1000000	16.4666667	368	GS	30.75	214
43000032	10403	Eberau	Gaas	7521	Güssing	Burgenland	47.0833333	16.4666667	354	GS	30.75	214
43000033	10403	Eberau	Kroatisch Ehrensdorf	7522	Güssing	Burgenland	47.1166667	16.4000000	91	GS	30.75	214
43000034	10403	Eberau	Kulm im Burgenland	7521	Güssing	Burgenland	47.1000000	16.4500000	188	GS	30.75	214
43000035	10403	Eberau	Winten	7521	Güssing	Burgenland	47.1166667	16.4333333	80	GS	30.75	214
43000036	10404	Gerersdorf-Sulz	Gerersdorf bei Güssing	7542	Güssing	Burgenland	47.0666667	16.2500000	497	GS	21.63	240
43000037	10404	Gerersdorf-Sulz	Rehgraben	7540	Güssing	Burgenland	47.0833333	16.2333333	190	GS	21.63	240
43000038	10404	Gerersdorf-Sulz	Sulz im Burgenland	7542	Güssing	Burgenland	47.0666667	16.2666667	370	GS	21.63	240
43000039	10405	Güssing	Glasing	7540	Güssing	Burgenland	47.0333333	16.3666667	147	GS	49.31	229
43000040	10405	Güssing	Güssing	7540	Güssing	Burgenland	47.0666667	16.3333333	2898	GS	49.31	229
43000041	10405	Güssing	Krottendorf	7540	Güssing	Burgenland	47.0500000	16.3000000	215	GS	49.31	229
43000042	10405	Güssing	Sankt Nikolaus	7540	Güssing	Burgenland	47.0500000	16.3333333	221	GS	49.31	229
43000043	10405	Güssing	Steingraben	7542	Güssing	Burgenland	47.0666667	16.2666667	173	GS	49.31	229
43000044	10405	Güssing	Urbersdorf	7540	Güssing	Burgenland	47.0500000	16.3666667	248	GS	49.31	229
43000045	10406	Güttenbach	Güttenbach	7535	Güssing	Burgenland	47.1666667	16.3000000	1026	GS	15.90	263
43000046	10407	Heiligenbrunn	Deutsch Bieling	7522	Güssing	Burgenland	47.0166667	16.4333333	114	GS	33.51	223
43000047	10407	Heiligenbrunn	Hagensdorf im Burgenland	7522	Güssing	Burgenland	47.0166667	16.4500000	274	GS	33.51	223
43000048	10407	Heiligenbrunn	Heiligenbrunn	7522	Güssing	Burgenland	47.0333333	16.4166667	260	GS	33.51	223
43000049	10407	Heiligenbrunn	Luising	7522	Güssing	Burgenland	47.0166667	16.4833333	135	GS	33.51	223
43000050	10407	Heiligenbrunn	Reinersdorf	7522	Güssing	Burgenland	47.0333333	16.4166667	206	GS	33.51	223
43000051	10408	Kukmirn	Eisenhüttl	7543	Güssing	Burgenland	47.1000000	16.2000000	174	GS	40.50	259
43000052	10408	Kukmirn	Kukmirn	7543	Güssing	Burgenland	47.0666667	16.2166667	820	GS	40.50	259
43000053	10408	Kukmirn	Limbach im Burgenland	7543	Güssing	Burgenland	47.0666667	16.1666667	456	GS	40.50	259
43000054	10408	Kukmirn	Neusiedl bei Güssing	7540	Güssing	Burgenland	47.1000000	16.1833333	585	GS	40.50	259
43000055	10409	Neuberg im Burgenland	Neuberg im Burgenland	7535	Güssing	Burgenland	47.0333333	16.2666667	1072	GS	17.61	308
43000056	10410	Neustift bei Güssing	Neustift bei Güssing	7540	Güssing	Burgenland	47.0166667	16.2666667	566	GS	11.44	257
43000057	10411	Olbendorf	Olbendorf	7534	Güssing	Burgenland	47.1833333	16.2000000	1394	GS	17.38	282
43000058	10412	Ollersdorf im Burgenland	Ollersdorf im Burgenland	7533	Güssing	Burgenland	47.1833333	16.1666667	983	GS	8.86	270
43000059	10413	Sankt Michael im Burgenland	Gamischdorf	7535	Güssing	Burgenland	47.1000000	16.2500000	168	GS	18.38	252
43000060	10413	Sankt Michael im Burgenland	Sankt Michael im Burgenland	7535	Güssing	Burgenland	47.1333333	16.2666667	836	GS	18.38	252
43000061	10413	Sankt Michael im Burgenland	Schallendorf im Burgenland	7535	Güssing	Burgenland	47.1166667	16.2500000	96	GS	18.38	252
43000062	10414	Stegersbach	Stegersbach	7551	Güssing	Burgenland	47.1666667	16.1666667	2380	GS	17.77	259
43000063	10415	Stinatz	Stinatz	7552	Güssing	Burgenland	47.2000000	16.1166667	1409	GS	9.50	343
43000064	10416	Strem	Deutsch Ehrensdorf	7522	Güssing	Burgenland	47.1000000	16.4166667	170	GS	23.77	207
43000065	10416	Strem	Steinfurt	7522	Güssing	Burgenland	47.0666667	16.4166667	128	GS	23.77	207
43000066	10416	Strem	Strem	7522	Güssing	Burgenland	47.0500000	16.4166667	586	GS	23.77	207
43000067	10416	Strem	Sumetendorf	7522	Güssing	Burgenland	47.0333333	16.3833333	65	GS	23.77	207
43000068	10417	Tobaj	Deutsch Tschantschendorf	7535	Güssing	Burgenland	47.1000000	16.2833333	509	GS	58.14	224
43000069	10417	Tobaj	Hasendorf im Burgenland	7540	Güssing	Burgenland	47.0833333	16.3000000	59	GS	58.14	224
43000070	10417	Tobaj	Kroatisch Tschantschendorf	7535	Güssing	Burgenland	47.0833333	16.2833333	93	GS	58.14	224
43000071	10417	Tobaj	Punitz	7535, 7540	Güssing	Burgenland	47.1166667	16.3500000	333	GS	58.14	224
43000072	10417	Tobaj	Tobaj	7540	Güssing	Burgenland	47.0833333	16.3000000	336	GS	58.14	224
43000073	10417	Tobaj	Tudersdorf	7535	Güssing	Burgenland	47.1000000	16.2833333	56	GS	58.14	224
43000074	10418	Hackerberg	Hackerberg	8292	Güssing	Burgenland	47.2000000	16.1166667	384	GS	3.87	340
43000075	10419	Wörterberg	Wörterberg	8293	Güssing	Burgenland	47.2166667	16.1000000	495	GS	4.76	408
43000076	10420	Großmürbisch	Großmürbisch	7540	Güssing	Burgenland	47.0166667	16.3500000	274	GS	7.92	293
43000077	10421	Inzenhof	Inzenhof	7540	Güssing	Burgenland	47.0166667	16.3166667	336	GS	5.97	244
43000078	10422	Kleinmürbisch	Kleinmürbisch	7540	Güssing	Burgenland	47.0333333	16.3333333	260	GS	4.29	250
43000079	10423	Tschanigraben	Tschanigraben	7540	Güssing	Burgenland	47.0166667	16.3000000	67	GS	1.71	320
43000080	10424	Heugraben	Heugraben	7551	Güssing	Burgenland	47.1166667	16.1833333	250	GS	6.47	249
43000081	10425	Rohr im Burgenland	Rohr im Burgenland	7551	Güssing	Burgenland	47.1166667	16.1666667	394	GS	8.38	250
43000082	10426	Bildein	Oberbildein	7521	Güssing	Burgenland	47.1333333	16.4666667	207	GS	16.02	227
43000083	10426	Bildein	Unterbildein	7521	Güssing	Burgenland	47.1333333	16.4666667	166	GS	16.02	227
43000084	10427	Rauchwart	Rauchwart im Burgenland	7535	Güssing	Burgenland	47.1333333	16.2333333	464	GS	17.51	237
43000085	10428	Moschendorf	Moschendorf	7540	Güssing	Burgenland	47.0500000	16.4833333	463	GS	13.18	206
43000086	10501	Deutsch Kaltenbrunn	Deutsch Kaltenbrunn	7572	Jennersdorf	Burgenland	47.0833333	16.1000000	1244	JE	24.19	262
43000087	10501	Deutsch Kaltenbrunn	Rohrbrunn	7572	Jennersdorf	Burgenland	47.1166667	16.1000000	581	JE	24.19	262
43000088	10502	Eltendorf	Eltendorf	7562	Jennersdorf	Burgenland	47.0000000	16.2000000	574	JE	20.58	244
43000089	10502	Eltendorf	Zahling	7562	Jennersdorf	Burgenland	47.0333333	16.2000000	443	JE	20.58	244
43000090	10503	Heiligenkreuz im Lafnitztal	Heiligenkreuz im Lafnitztal	7561	Jennersdorf	Burgenland	46.9891667	16.2608333	844	JE	23.78	243
43000091	10503	Heiligenkreuz im Lafnitztal	Poppendorf im Burgenland	7561	Jennersdorf	Burgenland	46.9969444	16.2250000	398	JE	23.78	243
43000092	10504	Jennersdorf	Grieselstein	8380	Jennersdorf	Burgenland	46.9525000	16.1200000	672	JE	37.92	242
43000093	10504	Jennersdorf	Henndorf im Burgenland	8282, 8380	Jennersdorf	Burgenland	46.9391667	16.1466667	515	JE	37.92	242
43000094	10504	Jennersdorf	Jennersdorf	8380	Jennersdorf	Burgenland	46.9391667	16.1466667	2351	JE	37.92	242
43000095	10504	Jennersdorf	Rax	8380	Jennersdorf	Burgenland	46.9333333	16.1666667	698	JE	37.92	242
43000096	10505	Minihof-Liebau	Minihof-Liebau	8384	Jennersdorf	Burgenland	46.8830556	16.0650000	346	JE	16.27	285
43000097	10505	Minihof-Liebau	Tauka	8384	Jennersdorf	Burgenland	46.8647222	16.0788889	348	JE	16.27	285
43000098	10505	Minihof-Liebau	Windisch-Minihof	8384	Jennersdorf	Burgenland	46.8830556	16.0650000	485	JE	16.27	285
43000099	10506	Mogersdorf	Deutsch Minihof	8382	Jennersdorf	Burgenland	46.9691667	16.2491667	168	JE	12.77	228
43000100	10506	Mogersdorf	Mogersdorf	8382	Jennersdorf	Burgenland	46.9491667	16.2322222	673	JE	12.77	228
43000101	10506	Mogersdorf	Wallendorf	8382	Jennersdorf	Burgenland	46.9719444	16.2333333	372	JE	12.77	228
43000102	10507	Neuhaus am Klausenbach	Bonisdorf	8384, 8385	Jennersdorf	Burgenland	46.8444444	16.0497222	123	JE	19.99	315
43000103	10507	Neuhaus am Klausenbach	Kalch	8385	Jennersdorf	Burgenland	46.8500000	16.0166667	254	JE	19.99	315
43000104	10507	Neuhaus am Klausenbach	Krottendorf bei Neuhaus am Klausenbach	8385	Jennersdorf	Burgenland	46.8500000	16.0166667	0	JE	19.99	315
43000105	10507	Neuhaus am Klausenbach	Neuhaus am Klausenbach	8385	Jennersdorf	Burgenland	46.8705556	16.0288889	515	JE	19.99	315
43000106	10508	Rudersdorf	Dobersdorf	7564	Jennersdorf	Burgenland	47.0166667	16.1333333	488	JE	21.44	248
43000107	10508	Rudersdorf	Rudersdorf	7571	Jennersdorf	Burgenland	47.0500000	16.1166667	1601	JE	21.44	248
43000108	10509	Sankt Martin an der Raab	Doiber	8383	Jennersdorf	Burgenland	46.9222222	16.1152778	253	JE	43.01	274
43000109	10509	Sankt Martin an der Raab	Gritsch	8383	Jennersdorf	Burgenland	46.9244444	16.1052778	113	JE	43.01	274
43000110	10509	Sankt Martin an der Raab	Neumarkt an der Raab	8380, 8383	Jennersdorf	Burgenland	46.9269444	16.1666667	576	JE	43.01	274
43000111	10509	Sankt Martin an der Raab	Oberdrosen	8383, 8384	Jennersdorf	Burgenland	47.8833333	16.1166667	268	JE	43.01	274
43000112	10509	Sankt Martin an der Raab	Sankt Martin an der Raab	8383	Jennersdorf	Burgenland	46.9225000	16.1361111	513	JE	43.01	274
43000113	10509	Sankt Martin an der Raab	Welten	8350, 8383, 8385	Jennersdorf	Burgenland	46.9291667	16.0825000	372	JE	43.01	274
43000114	10510	Weichselbaum	Krobotek	8382	Jennersdorf	Burgenland	46.9425000	16.1875000	0	JE	12.17	236
43000115	10510	Weichselbaum	Maria Bild	8382	Jennersdorf	Burgenland	46.9588889	16.1897222	214	JE	12.17	236
43000116	10510	Weichselbaum	Rosendorf	8382	Jennersdorf	Burgenland	46.9797222	16.2102778	108	JE	12.17	236
43000117	10510	Weichselbaum	Weichselbaum	8382	Jennersdorf	Burgenland	46.9425000	16.1875000	131	JE	12.17	236
43000118	10511	Königsdorf	Königsdorf	7563	Jennersdorf	Burgenland	47.0000000	16.1666667	757	JE	15.67	236
43000119	10512	Mühlgraben	Mühlgraben	8385	Jennersdorf	Burgenland	46.8897222	16.0408333	450	JE	5.55	320
43000120	10601	Draßburg	Draßburg	7021	Mattersburg	Burgenland	47.7333333	16.4833333	1055	MA	9.68	234
43000121	10602	Forchtenstein	Forchtenstein	7212	Mattersburg	Burgenland			2832	MA	16.59	343
43000122	10603	Hirm	Hirm	7024	Mattersburg	Burgenland	47.7833333	16.4666667	907	MA	3.12	182
43000123	10604	Loipersbach im Burgenland	Loipersbach im Burgenland	7022	Mattersburg	Burgenland	47.7000000	16.4666667	1269	MA	8.55	292
43000124	10605	Marz	Marz	7221	Mattersburg	Burgenland	47.7166667	16.4166667	2028	MA	17.40	256
43000125	10606	Mattersburg	Mattersburg	7210	Mattersburg	Burgenland	47.7333333	16.4000000	5532	MA	28.20	258
43000126	10606	Mattersburg	Walbersdorf	7210	Mattersburg	Burgenland	47.7333333	16.4166667	724	MA	28.20	258
43000127	10607	Neudörfl	Neudörfl	7201	Mattersburg	Burgenland	47.7833333	16.2833333	3942	MA	9.01	273
43000128	10608	Pöttelsdorf	Pöttelsdorf	7023	Mattersburg	Burgenland	47.7500000	16.4333333	638	MA	7.86	216
43000129	10609	Pöttsching	Pöttsching	7033	Mattersburg	Burgenland	47.8000000	16.3833333	2679	MA	24.64	218
43000130	10610	Rohrbach bei Mattersburg	Rohrbach bei Mattersburg	7222	Mattersburg	Burgenland	47.7166667	16.4166667	2718	MA	15.23	278
43000131	10611	Bad Sauerbrunn	Bad Sauerbrunn	7202	Mattersburg	Burgenland	47.7666667	16.3333333	1914	MA	2.35	280
43000132	10612	Schattendorf	Schattendorf	7022	Mattersburg	Burgenland	47.7166667	16.5000000	2465	MA	12.12	256
43000133	10613	Sieggraben	Sieggraben	7223	Mattersburg	Burgenland	47.6500000	16.3666667	1295	MA	17.70	450
43000134	10614	Sigleß	Sigleß	7032	Mattersburg	Burgenland	47.7833333	16.3833333	1148	MA	10.16	226
43000135	10615	Wiesen	Wiesen	7202, 7203	Mattersburg	Burgenland	47.7333333	16.3333333	2779	MA	18.91	306
43000136	10616	Antau	Antau	7041	Mattersburg	Burgenland	47.7666667	16.4833333	753	MA	8.75	189
43000137	10617	Baumgarten	Baumgarten	7021	Mattersburg	Burgenland	47.7333333	16.5000000	0	MA	6.96	255
43000138	10618	Zemendorf-Stöttera	Stöttera	7023	Mattersburg	Burgenland	47.7666667	16.4666667	593	MA	12.83	199
43000139	10618	Zemendorf-Stöttera	Zemendorf	7023	Mattersburg	Burgenland	47.7500000	16.4500000	679	MA	12.83	199
43000140	10619	Krensdorf	Krensdorf	7031	Mattersburg	Burgenland	47.7833333	16.4166667	616	MA	7.79	212
43000141	10701	Andau	Andau	7163	Neusiedl am See	Burgenland	47.7666667	17.0333333	2514	ND	47.31	120
43000142	10702	Apetlon	Apetlon	7132, 7143, 7161	Neusiedl am See	Burgenland	47.7500000	16.8333333	1888	ND	82.21	120
43000143	10703	Bruckneudorf	Bruckneudorf	2460	Neusiedl am See	Burgenland	48.0166667	16.7833333	2340	ND	36.70	150
43000144	10703	Bruckneudorf	Kaisersteinbruch	2460, 2462	Neusiedl am See	Burgenland	47.9833333	16.7000000	241	ND	36.70	150
43000145	10703	Bruckneudorf	Königshof	2462	Neusiedl am See	Burgenland	48.0166667	16.7166667	28	ND	36.70	150
43000146	10704	Deutsch Jahrndorf	Deutsch Jahrndorf	2423	Neusiedl am See	Burgenland	48.0166667	17.1000000	557	ND	27.43	133
43000147	10705	Frauenkirchen	Frauenkirchen	7132	Neusiedl am See	Burgenland	47.8333333	16.9166667	2856	ND	31.95	124
43000148	10706	Gattendorf	Gattendorf	2474	Neusiedl am See	Burgenland	48.0166667	16.9833333	1120	ND	25.12	147
43000149	10707	Gols	Gols	7122	Neusiedl am See	Burgenland	47.8833333	16.9000000	3516	ND	42.23	130
43000150	10708	Halbturn	Halbturn	7131	Neusiedl am See	Burgenland	47.8666667	16.9666667	1880	ND	55.20	130
43000151	10709	Illmitz	Illmitz	7142	Neusiedl am See	Burgenland	47.7500000	16.8000000	2595	ND	91.85	117
43000152	10710	Jois	Jois	7093	Neusiedl am See	Burgenland	47.9500000	16.7833333	1310	ND	25.90	150
43000153	10711	Kittsee	Kittsee	2421	Neusiedl am See	Burgenland	48.0833333	17.0666667	1877	ND	19.26	138
43000154	10712	Mönchhof	Mönchhof	7123	Neusiedl am See	Burgenland	47.8666667	16.9333333	2257	ND	33.56	131
43000155	10713	Neusiedl am See	Neusiedl am See	7100	Neusiedl am See	Burgenland	47.9333333	16.8333333	5584	ND	57.03	131
43000156	10714	Nickelsdorf	Nickelsdorf	2425	Neusiedl am See	Burgenland	47.9333333	17.0666667	1566	ND	60.75	130
43000157	10715	Pama	Pama	2422	Neusiedl am See	Burgenland	48.0500000	17.0333333	1005	ND	26.40	137
43000158	10716	Pamhagen	Pamhagen	7152	Neusiedl am See	Burgenland	47.7000000	16.9166667	1768	ND	33.05	121
43000159	10717	Parndorf	Parndorf	2471, 7111	Neusiedl am See	Burgenland	47.9833333	16.8500000	3218	ND	59.29	182
43000160	10718	Podersdorf am See	Podersdorf am See	7141	Neusiedl am See	Burgenland	47.8500000	16.8333333	1998	ND	41.73	121
43000161	10719	Sankt Andrä am Zicksee	Sankt Andrä am Zicksee	7161	Neusiedl am See	Burgenland	47.7833333	16.9333333	1397	ND	31.71	123
43000162	10720	Tadten	Tadten	7162	Neusiedl am See	Burgenland	47.7666667	16.9833333	1355	ND	36.10	122
43000163	10721	Wallern im Burgenland	Wallern im Burgenland	7151	Neusiedl am See	Burgenland	47.7166667	16.9333333	1980	ND	33.87	120
43000164	10722	Weiden am See	Weiden am See	7100, 7121	Neusiedl am See	Burgenland	47.9166667	16.8666667	1922	ND	32.51	127
43000165	10723	Winden am See	Winden am See	7092	Neusiedl am See	Burgenland	47.9500000	16.7500000	1125	ND	13.51	124
43000166	10724	Zurndorf	Zurndorf	2424	Neusiedl am See	Burgenland	47.9666667	17.0000000	1993	ND	54.30	137
43000167	10725	Neudorf	Neudorf bei Parndorf	2475	Neusiedl am See	Burgenland	48.0166667	16.9333333	729	ND	21.66	170
43000168	10726	Potzneusiedl	Potzneusiedl	2473	Neusiedl am See	Burgenland	48.0333333	16.9333333	504	ND	12.11	170
43000169	10727	Edelstal	Edelstal	2413	Neusiedl am See	Burgenland	48.1000000	16.9833333	607	ND	5.89	183
43000170	10801	Deutschkreutz	Deutschkreutz	7301	Oberpullendorf	Burgenland	47.6000000	16.6333333	2892	OP	34.11	192
43000171	10801	Deutschkreutz	Girm	7301	Oberpullendorf	Burgenland	47.5833333	16.6000000	329	OP	34.11	192
43000172	10802	Draßmarkt	Draßmarkt	7371, 7372	Oberpullendorf	Burgenland	47.5166667	16.4000000	940	OP	36.23	341
43000173	10802	Draßmarkt	Karl	7372	Oberpullendorf	Burgenland	47.5166667	16.4000000	212	OP	36.23	341
43000174	10802	Draßmarkt	Oberrabnitz	7371	Oberpullendorf	Burgenland	47.4833333	16.3500000	259	OP	36.23	341
43000175	10803	Frankenau-Unterpullendorf	Frankenau	7361	Oberpullendorf	Burgenland	47.4500000	16.6000000	480	OP	29.95	209
43000176	10803	Frankenau-Unterpullendorf	Großmutschen	7452	Oberpullendorf	Burgenland	47.4666667	16.5833333	177	OP	29.95	209
43000177	10803	Frankenau-Unterpullendorf	Kleinmutschen	7452	Oberpullendorf	Burgenland	47.4500000	16.5666667	124	OP	29.95	209
43000178	10803	Frankenau-Unterpullendorf	Unterpullendorf	7452	Oberpullendorf	Burgenland	47.4666667	16.5333333	467	OP	29.95	209
43000179	10804	Großwarasdorf	Großwarasdorf	7304	Oberpullendorf	Burgenland	47.5333333	16.5500000	622	OP	42.51	244
43000180	10804	Großwarasdorf	Kleinwarasdorf	7304	Oberpullendorf	Burgenland	47.5333333	16.5833333	544	OP	42.51	244
43000181	10804	Großwarasdorf	Langental	7304	Oberpullendorf	Burgenland	47.5000000	16.5500000	105	OP	42.51	244
43000182	10804	Großwarasdorf	Nebersdorf	7304	Oberpullendorf	Burgenland	47.5166667	16.5666667	376	OP	42.51	244
43000183	10805	Horitschon	Horitschon	7312	Oberpullendorf	Burgenland	47.5833333	16.5500000	1469	OP	18.72	239
43000184	10805	Horitschon	Unterpetersdorf	7312	Oberpullendorf	Burgenland	47.5833333	16.5833333	539	OP	18.72	239
43000185	10806	Kaisersdorf	Kaisersdorf	7342	Oberpullendorf	Burgenland	47.5333333	16.4000000	527	OP	12.51	361
43000186	10807	Kobersdorf	Kobersdorf	7332	Oberpullendorf	Burgenland	47.6000000	16.4000000	1000	OP	27.30	320
43000187	10807	Kobersdorf	Lindgraben	7341	Oberpullendorf	Burgenland	47.5666667	16.4000000	262	OP	27.30	320
43000188	10807	Kobersdorf	Oberpetersdorf	7332	Oberpullendorf	Burgenland	47.6166667	16.3833333	567	OP	27.30	320
43000189	10808	Lackenbach	Lackenbach	7322	Oberpullendorf	Burgenland	47.5833333	16.4666667	1096	OP	18.11	313
43000190	10809	Lockenhaus	Glashütten bei Langeck im Burgenland	7442	Oberpullendorf	Burgenland	47.3666667	16.3833333	348	OP	58.86	336
43000191	10809	Lockenhaus	Hammerteich	7442	Oberpullendorf	Burgenland	47.3666667	16.3833333	256	OP	58.86	336
43000192	10809	Lockenhaus	Hochstraß	7442	Oberpullendorf	Burgenland	47.3666667	16.3833333	217	OP	58.86	336
43000193	10809	Lockenhaus	Langeck im Burgenland	7442	Oberpullendorf	Burgenland	47.4000000	16.3666667	242	OP	58.86	336
43000194	10809	Lockenhaus	Lockenhaus	7442	Oberpullendorf	Burgenland	47.3666667	16.3833333	938	OP	58.86	336
43000195	10810	Lutzmannsburg	Lutzmannsburg	7361	Oberpullendorf	Burgenland	47.4666667	16.6333333	669	OP	23.18	206
43000196	10810	Lutzmannsburg	Strebersdorf	7361	Oberpullendorf	Burgenland	47.4500000	16.6166667	275	OP	23.18	206
43000197	10811	Mannersdorf an der Rabnitz	Klostermarienberg	7444	Oberpullendorf	Burgenland	47.4166667	16.5666667	391	OP	38.42	245
43000198	10811	Mannersdorf an der Rabnitz	Liebing	7443	Oberpullendorf	Burgenland	47.4166667	16.5000000	241	OP	38.42	245
43000199	10811	Mannersdorf an der Rabnitz	Mannersdorf an der Rabnitz	7444	Oberpullendorf	Burgenland	47.4166667	16.5166667	600	OP	38.42	245
43000200	10811	Mannersdorf an der Rabnitz	Rattersdorf	7443	Oberpullendorf	Burgenland	47.4000000	16.5000000	454	OP	38.42	245
43000201	10811	Mannersdorf an der Rabnitz	Unterloisdorf	7444	Oberpullendorf	Burgenland	47.4333333	16.5333333	253	OP	38.42	245
43000202	10812	Markt Sankt Martin	Landsee	2812, 7341	Oberpullendorf	Burgenland	47.5500000	16.3333333	285	OP	32.11	307
43000203	10812	Markt Sankt Martin	Markt Sankt Martin	7341	Oberpullendorf	Burgenland	47.5666667	16.4333333	659	OP	32.11	307
43000204	10812	Markt Sankt Martin	Neudorf bei Landsee	7341	Oberpullendorf	Burgenland	47.5500000	16.3833333	227	OP	32.11	307
43000205	10813	Neckenmarkt	Haschendorf	7311	Oberpullendorf	Burgenland	47.6000000	16.6000000	152	OP	26.92	225
43000206	10813	Neckenmarkt	Neckenmarkt	7311	Oberpullendorf	Burgenland	47.6000000	16.5500000	1569	OP	26.92	225
43000207	10814	Neutal	Neutal	7343	Oberpullendorf	Burgenland	47.5333333	16.4333333	1027	OP	11.57	274
43000208	10815	Nikitsch	Kroatisch Geresdorf	7361	Oberpullendorf	Burgenland	47.5000000	16.6166667	444	OP	50.76	228
43000209	10815	Nikitsch	Kroatisch Minihof	7302	Oberpullendorf	Burgenland	47.5333333	16.6333333	378	OP	50.76	228
43000210	10815	Nikitsch	Nikitsch	7302	Oberpullendorf	Burgenland	47.5333333	16.6666667	740	OP	50.76	228
43000211	10816	Oberpullendorf	Mitterpullendorf	7304, 7350	Oberpullendorf	Burgenland	47.4833333	16.5000000	1000	OP	12.65	245
43000212	10816	Oberpullendorf	Oberpullendorf	7350	Oberpullendorf	Burgenland	47.5000000	16.5166667	1793	OP	12.65	245
43000213	10817	Pilgersdorf	Bubendorf im Burgenland	7441	Oberpullendorf	Burgenland	47.4333333	16.3333333	276	OP	43.90	375
